1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
27	Mit értünk biztonságos sebesség fogalma alatt?	"Olyan sebesség, amelynél a hajó vagy a kötelék biztonságosan közlekedhet, m?veletezhet, továbbá az adott körülmények és viszonyok között szükséges távolságon belül megállhat."	"Olyan sebesség, amelynél a hajó vagy a kötelék nem kelt olyan hullámokat, illetve nem okoz olyan szívóhatást, amely a víziközlekedésben résztvev?k számára veszélyt jelent."	"Olyan sebesség, amelynél a hajó vagy a kötelék nyugodtan közlekedhet, m?veletezhet, továbbá az adott körülmények és viszonyok között szükséges távolságon belül megfelel? man?verekkel elkerülheti az összeütközést."		1
28	Folytassa a meghatározást a Szabályzat alapján! Kimerült állapot	"a betegség miatt gyógyszer hatására fellép?, a magatartási normától való eltérésben megnyilvánuló állapot."	a kialvatlan állapot miatt fellép? vagy kialakuló és a reakcióid? növekedésében megnyilvánuló állapot.	"a nem kielégít? pihenés vagy betegség miatt fellép?, a magatartási normától való eltérésben és a reakcióid? növekedésében megnyilvánuló állapot."		3
29	Mit értünk bódult állapot fogalmán a víziközlekedésben?	"Betegség miatt gyógyszer vagy más hasonlóan ható szer hatására fellép?, a magatartási normától való eltérésben megnyilvánuló állapot."	"Alkohol, kábítószer, illetve gyógyszer vagy más hasonló anyag fogyasztásának következtében fellép? állapot."	"Kialvatlanság és a nem kielégít? pihenés fellép? olyan kábult állapot, amely a magatartási normától való eltérésben nyilvánul meg."		2
30	Az alábbiak közül milyen feltételt támaszt a Szabályzat a menetben lév? kishajó vezet?jével szemben?	Állandóan a kishajó vezetésére képes állapotban kell lennie.	Nem lehet kimerült vagy bódult állapotban.	"A kishajón való tartózkodása alatt nem fogyaszthat gyógyszert, alkoholt és más hasonlóan ható szert."		2
31	A vezet?n kívül a kishajón tartózkodók közül ki tartozik felel?sséggel a Szabályzat el?írásainak megtartásáért?	"Csak a kishajó személyzetének tagja(i) függetlenül attól, hogy szolgálatban van(nak)-e vagy pihen?idejét/pihen?idejüket tölti(k)."	Aki ideiglenesen maga határozza meg a kishajó útvonalát és sebességét.	A kishajó személyzetének tagjait és a kishajón tartózkodó más személyeket is közös felel?sség terheli a Szabályzat el?írásainak megtartásáért.		2
32	"Folytassa a meghatározást? Kishajó vezetése olyan személynek engedhet? át,"	"akinek a szervezetében nincs kábítószer, gyógyszer, vagy ezek kombinációja."	akinek a vezetésben már legalább egy éves gyakorlattal rendelkezik.	aki nincs kimerült vagy bódult állapotban és nem mutatja látható jeleit a fáradságának.		3
33	Folytassa az el?írást! A kishajó vezet?je	"szakmai felkészültsége, gyakorlata alapján köteles minden a körülmények által megkövetelt intézkedést megtenni, ha a Szabályzatban foglaltaktól eltér."	"a közvetlenül fenyeget? veszély elhárítása érdekében köteles minden a körülmények által megkövetelt intézkedést megtenni még akkor is, ha emiatt az e Szabályzatban foglaltaktól el kell térnie."	"köteles a Szabályzat rendelkezéseit?l eltérni, ha megítélése szerint a körülmények azt indokolják."		2
34	Eltérhet-e a kishajóvezet? a Szabályzat el?írásaitól?	"Igen, erre a Szabályzat a közvetlen veszély esetén feljogosítja, amelynek alapján minden a körülmények által megkövetelt intézkedésre kötelezi a kishajóvezet?t."	"Igen, mivel a veszélyek elhárítása saját felel?ssége, ezért köteles bármely veszély elhárítása érdekében a Szabályzat el?írásait figyelmen kívül hagyni."	"Nem, mivel a Szabályzat minden szokásos és rendkívüli helyzet megoldására tartalmaz el?írásokat."		1
35	Mikor térhet el kishajóvezet? a Szabályzat rendelkezéseit?l?	"Csak abban az esetben, ha ezzel idéz el? kárt más hajóban vagy m?tárgyakban."	Csak akkor ha azt közvetlenül fenyeget? veszély elhárítása érdekében teszi és a körülmények által megkövetelt mértéket nem lépi túl.	"Nem térhet el a Szabályzat el?írásaitól, mert az szabálysértés vagy b?ncselekmény lenne."		2
36	"Milyen el?írás vonatkozik a kishajó horgonyára, ha azt nem használják?"	"Ha a horgonyt nem használják, az nem lóghat a vízfelszín alá."	"Ha horgonyt nem használják, azt teljesen fel kell húzni."	Használaton kívüli horgonyt a kishajó gerincvonala fölé kell emelni.		2
37	"Milyen kötelezettség terheli a kishajó vezet?jét, ha olyan tárgyat veszített el, amely a hajózás számára akadályt vagy veszélyt jelenthet?"	"Haladéktalanul értesítenie kell a legközelebbi illetékes hatóságot, a lehet? legpontosabban megjelölve a tárgy elvesztésének helyét, köteles továbbá lehet?ség szerint ezt a helyet megjelölni."	"Haladéktalanul értesítenie kell a legközelebbi vízirendészeti szervet, annak és a kiemelést végz? búvárok helyszínre érkezéséig a hajó a helyszínr?l nem távozhat el."	"Köteles az elvesztett tárgyat megkeresni és kiemelni. Amennyiben a kiemelés eredménytelen, a tárgyat nappali és éjszakai jelzésekkel meg kell jelölnie."		1
38	"Milyen kötelezettség terheli a kishajó vezet?jét, ha víziutat elzáró ismeretlen akadályt észlel?"	"Haladéktalanul be kell jelentenie a legközelebbi illetékes hatóságnál, a lehet? legpontosabban megjelölve az észlelt akadály helyét és amennyiben az veszélyezteti a hajózást, lehet?ség szerint a helyet köteles megjelölni."	"Gondoskodnia kell az észlelt akadály eltávolításáról, ha ezt nem tudja megtenni, gondoskodnia kell annak megjelölésér?l."	A térségben közleked? - rádióforgalmazásra kötelezett hajót - figyelmeztetnie kell az illetékes hatóság felé történ? bejelentési kötelezettségére.		1
39	"Terheli-e kötelezettség a kishajó vezet?jét, ha m?tárgyat (pl. zsilip, híd) rongál meg?"	Köteles tájékoztatni a térségben közleked? hajókat az eseményr?l.	Köteles haladéktalanul értesíteni a legközelebbi illetékes hatóságot.	Köteles haladéktalanul értesíteni a m?tárgy üzemeltet?jét és a károkozással kapcsolatban felel?sségvállalásáról nyilatkozni.		2
40	Milyen kötelezettség hárul a kishajó vezet?jére a hajón tartózkodó személyek biztonságát fenyeget? balesetnél?	A vezet? a lehet? legrövidebb id?n belül köteles értesíteni a legközelebbi illetékes hatóságot intézkedésüket kérve a veszélyeztetett személyek kimentése érdekében.	A vezet? köteles minden ment?eszközt a veszélyeztetett személyek számára átadni.	A vezet?nek minden rendelkezésre álló eszközt fel kell használnia e személyek mentése érdekében.		3
41	"Köteles-e segítséget nyújtani a kishajó vezet?je, ha egy nem kishajó emberéletet veszélyeztet? balesetet szenvedett?"	"A gazdasági célú tevékenységet végz? kishajó vezet?jét igen, a kedvtelési célú hajó vezet?jét nem, mivel e kérdésben kevésbé jártas."	"Nem, mert a kishajókra a nagyhajóktól eltér? szabályok vonatkoznak."	"Igen, saját kishajójának biztonságával összeegyeztethet? mértékben, hiszen ilyen esetben a Szabályzat nem tesz különbséget a hajók között."		3
42	Milyen kötelezettség hárul az elsüllyedt kishajó vezet?jére?	A helyszín elhagyását követ?en haladéktalanul intézkednie kell a kishajó kiemelésér?l és a hatóságoknak jelentenie kell a megtett intézkedéseket.	"A legrövidebb id?n belül értesítenie kell a legközelebbi illetékes hatóságot és az elsüllyedt kishajó közelében kell maradnia, amíg a kiemelés el nem kezd?dik."	"A legrövidebb id?n belül értesítenie kell a legközelebbi illetékes hatóságot a történtekr?l és a vezet?nek vagy a személyzet egy tagjának a hajón vagy a káreset közelében kell maradnia, amíg az illetékes hatóság a helyszín elhagyását nem engedélyezi."		3
43	Milyen kötelezettség hárul a fennakadt kishajó vezet?jére?	A helyszín elhagyását követ?en haladéktalanul intézkednie kell a kishajó leszabadításáról és a hatóságoknak jelentenie kell a megtett intézkedéseket.	"A legrövidebb id?n belül értesítenie kell a legközelebbi illetékes hatóságot és a fennakadt kishajó közelében kell maradnia, amíg a leszabadítás meg nem történik."	"A legrövidebb id?n belül értesítenie kell a legközelebbi illetékes hatóságot a történtekr?l és a vezet?nek vagy a személyzet egy tagjának a hajón vagy a káreset közelében kell maradnia, amíg az illetékes hatóság a helyszín elhagyását nem engedélyezi."		3
44	Milyen kötelezettség hárul a hajóútban vagy annak közelében fennakadt kishajó vezet?jére az alábbiak közül?	Csak bejelentési kötelezettsége van az illetékes hatóságok felé.	"A legközelebbi illetékes hatóság felé bejelentési, az el?írt jelzések kihelyezésére, valamint más hajók számára vonatkozó tájékoztatási kötelezettsége van."	Csak más hajók tájékoztatására vonatkozó kötelezettsége van.		2
45	Milyen el?írás vonatkozik a kishajó sebességének megválasztására?	"A kishajó csak olyan sebességgel haladhat, amelyet a víziútra vonatkozóan az illetékes hatóság meghatároz."	A kishajónak mindenkor biztonságos sebességgel kell haladnia.	A kishajónak mindig a man?verképességének fenntartásához szükséges maximális sebességgel kell haladnia.		2
46	"Folytassa! A kötelez? gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezet?jének a Szabályzat külön rendelkezése hiányában is"	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elkerülje a hajókban vagy az úszó testek kötelékeiben, partban és a hajóútban okozott kárt."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elhárítson minden a hajókban vagy az úszó testek kötelékeiben okozott kárt."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy megóvja a kishajó személyzetének és minden más személynek testi épségét."		1
47	"Folytassa! A kötelez? gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezet?jének a Szabályzat külön rendelkezése hiányában is"	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy megóvja a kishajó személyzetének és minden más személynek testi épségét."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elkerülje az emberéletet fenyeget? veszélyt."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy más kishajót hirtelen sebesség- vagy irányváltoztatásra ne kényszerítsen."		2
48	"Folytassa! A kötelez? gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezet?jének a Szabályzat külön rendelkezése hiányában is"	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy épségben meg?rizze a kishajóra rendszeresített okmányokat, Bizonyítványokat."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy biztosítsa a Szabályzatban meghatározott valamennyi jelzés mindenkori észlelhet?ségét."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elkerülje a hajózás akadályozását."		3
49	"Folytassa! A kötelez? gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezet?jének a Szabályzat külön rendelkezése hiányában is"	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy megakadályozza a hullámkeltést és szívóhatást ezzel víziközlekedési balesetek kialakulását."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elkerülje a kishajón tartózkodó személyeknek okozott károkat."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elhárítsa a hajón tartózkodók fröccsen? víz általi szennyez?dését."		2
50	"Folytassa! A kötelez? gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezet?jének a Szabályzat külön rendelkezése hiányában is"	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elkerülje a kiköt?i és partfali berendezésekben és a környezetben okozott károkat."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elhárítson minden a hajókban vagy az úszó testek kötelékeiben, partban és a hajóútban okozott kárt."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy megakadályozza a navigációs berendezések és (ha van a rádiótelefon) rendeltetést?l eltér? használatát."		1
51	"Folytassa! A kötelez? gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezet?jének a Szabályzat külön rendelkezése hiányában is"	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy biztosítsa a Szabályzatban meghatározott valamennyi jelzés mindenkori észlelhet?ségét."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy más kishajót hirtelen sebesség- vagy irányváltoztatásra ne kényszerítsen."	"meg kell tennie valamennyi el?vigyázatossági intézkedést, hogy elkerülje a hajóút közvetlen közelében lév? bármilyen m?tárgyban, illetve berendezésben okozott kárt."		3
52	"Mi a kötelezettsége a kishajó vezet?jének is, ha a víziút jelei, jelzései hiányoznak?"	Köteles a kötelez? gondosság érdekében minden szükséges biztonsági intézkedés megtételére.	A hiányzó jel vagy jelzés el?tt köteles várakozni!	"Az illetékes hatóság értesítését követ?en, kell? óvatossággal csak a legközelebbi biztonságos horgonyzó helyig hajózhat."		1
53	Milyen el?írás vonatkozik a kishajó felszerelésére és szerkezetére az alábbiak közül?	A kishajó szerkezetének meg kell felelnie a Szabályzatban foglalt követelményeknek és a Hajók M?szaki Felügyeleti El?írásainak.	"A kishajó szerkezetének és felszerelésének biztosítania kell a rajtuk tartózkodó személyek és a hajózás biztonságát, továbbá a Szabályzatban foglalt követelmények megtartását."	"A kishajó szerkezetének biztosítania kell a rajtuk tartózkodó személyek kényelmét, felszerelésének meg kell felelnie a szabványokban el?írt követelményeknek."		2
54	Milyen biztonsági el?írást tartalmaz a Szabályzat I. része a hajó felszerelésével kapcsolatban az alábbiak közül?	"A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett utasok számára alkalmas, valamint a feln?tt és gyermekkorúak közötti megoszlásnak megfelel? mennyiség? ment?eszközökkel."	A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett befogadóképességnek megfelel? mennyiség? ment?eszközzel.	A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett befogadóképességet 10 %-ban meghaladó mennyiség? a gyermekkorú utasoknak alkalmas ment?eszközzel.		1
55	Folytassa! A kishajó vezet?je köteles	végrehajtani az illetékes hatóságoknak a hajózás biztonsága vagy a hajózás rendje érdekében kiadott rendelkezéseit.	"betartani a Szabályzat tételes el?írásait, valamint az illetékes hatóságok írásba foglalt átmeneti rendelkezéseit."	"figyelembe venni az illetékes hatóságok víziút állapotára, annak hajózhatóságára, valamint az id?járási viszonyokra vonatkozó közérdek? (rádióban, televízióban közzétett) tájékoztatóit."		1
56	Milyen kötelezettséget hárul a kishajó vezet?jére az illetékes hatóság rendelkezéseivel kapcsolatban?	"Köteles végrehajtani az illetékes hatóság(ok), de kizárólag csak az írásban közölt rendelkezéseit és utasításait."	Köteles végrehajtani az illetékes hatóság(ok) hajózás biztonsága vagy a hajózás rendje érdekében kiadott rendelkezéseit.	Köteles végrehajtani az illetékes hatóság(ok) bármilyen helyszínen kiadott utasításait.		2
57	Folytassa! Az illetékes hatóságok jogosultak	hajó üzemeltetésével kapcsolatosan bármilyen rendelkezés kiadására.	"a hajó személyzetének tevékenységére, munkavégzésére vonatkozóan rendelkezni."	a hajózás biztonságát és megfelel? rendjét érint? rendelkezések kiadására.		3
58	"Mit jelez a tábla, ha azt hajón helyezik el?"	A hajón tilos a dohányzás!	A dohányzás vagy a nyílt láng használata tilos!	A dohányzás és nem védett világítótest vagy nyílt láng használata tilos!	teszt-1585.jpg	3
59	"Mit jelent a képen látható jelzés, ha azt egy hajón helyezték el?"	Tilos a hajó mellé állni és t?le 25 méter távolságon belül vesztegelni!	A hajótól mért 25 méteres távolságon belül megengedett a horgonyzás.	A hajótól mért 25 méteres távolságon túl tilos a veszteglés!	teszt-1586.jpg	1
60	Haladhatnak-e a hajók párhuzamosan?	"Igen, kivéve a gyorsjáratú hajók egymás melletti, valamint kishajó és kishajónak nem tekinthet? hajó egymás melletti párhuzamos haladását."	Egymás mellett párhozamosan tilos hajózni!	"Igen, ha az erre rendelkezésre álló szabad tér ezt lehet?vé teszi, és amikor ez a hajózást nem akadályozza, illetve nem veszélyezteti."		3
61	"Folytassa! El?zés, illetve találkozás kivételével tilos az egészségre ártalmas árut szállító hajótól/kötelékt?l"	50 m távolságon belül haladni!	30 m távolságon belül haladni!	25 m távolságon belül haladni!	teszt-0794.jpg	1
62	"Folytassa! El?zés, illetve találkozás kivételével tilos a robbanásveszélyes árut szállító hajótól/kötelékt?l"	50 m távolságon belül haladni!	30 m távolságon belül haladni!	25 m távolságon belül haladni!	xxx-1141.jpg	1
63	"Miel?tt vízisíel?t vontatna, mire hívja fel a figyelmét? Figyelmeztetem, hogy vízisíel?nek menetben lév? hajótól, úszó testek kötelékét?l és munkát végz? úszómunkagépt?l"	kell? távolságot kell tartania!	legalább 25 m távolságot kell tartania!	legalább 30 m távolságot kell tartania!		1
64	A kötelez? gondosságon túl milyen el?írás vonatkozik a hajó sebességének megválasztására?	"A hajónak - a kishajó kivételével - úgy kell szabályozni sebességét, hogy ne keltsen olyan hullámot vagy szívóhatást, amely menetben lév? vagy vesztegl? hajóban vagy a m?tárgyban kárt okozhat!"	"A hajónak úgy kell szabályozni sebességét, hogy ne keltsen olyan hullámot vagy szívóhatást, amely menetben lév? vagy vesztegl? hajóban vagy a m?tárgyban kárt okozhat!"	"A hajónak mindig olyan sebességgel kell haladnia, amely biztosítja m?veletképességét még akkor is, ha azzal hullámot vagy szívóhatást kelt."		2
65	Hogyan kell elhajózni hullámzás elleni védelem jelzéseit visel? hajó mellett? Az elhaladás során a hajók kötelesek	kell? távolságot kell tartani t?le.	a lehet? legnagyobb oldaltávolságot tartani t?le!	legalább 50 m távolságot kell tartani t?le.	xxx-3679.jpg	2
66	Hogyan kell elhajózni hullámzás elleni védelem jelzéseit visel? hajó mellett? Az elhaladás során a hajók kötelesek	kell? távolságot kell tartani t?le.	a lehet? legnagyobb oldaltávolságot tartani t?le!	legalább 50 m távolságot kell tartani t?le.	xxx-3725.jpg	2
67	Hogyan kell elhajózni hullámzás elleni védelem jelzéseit visel? munkát végz? úszómunkagép mellett? Az elhaladás során a hajók kötelesek	kell? távolságot kell tartani t?le.	a lehet? legnagyobb oldaltávolságot tartani t?le!	legalább 50 m távolságot kell tartani t?le.	xxx-0162.jpg	2
68	Hogyan kell elhajózni hullámzás elleni védelem jelzéseit visel? munkát végz? úszómunkagép mellett? Az elhaladás során a hajók kötelesek	kell? távolságot kell tartani t?le.	a lehet? legnagyobb oldaltávolságot tartani t?le!	legalább 50 m távolságot kell tartani t?le.	xxx-0054.jpg	2
69	Milyen követelményt támaszt a Szabályzat a kizárólag kishajókból álló köteléket továbbító kisgéphajóval szemben?	A vízfelszínhez képest legalább 15 km/óra sebességet kell elérnie.	Gépi meghajtó berendezésének motorteljesítménye 50 kW-nál nem lehet kisebb.	Elegend? gépteljesítménnyel kell rendelkeznie a kötelék megfelel? m?veletképességének biztosításához.	xxx-0059.jpg	3
